0inux 5.19.0-46-generic (ArielK-Yoga) 	29/07/23 	_x86_64_	(8 CPU)

11:33:14      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:33:14        0         1    0.00    0.00    0.00    0.00    0.00     2  systemd
11:33:14        0         2    0.00    0.00    0.00    0.00    0.00     4  kthreadd
11:33:14        0        14    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
11:33:14        0        15    0.00    0.00    0.00    0.00    0.00     1  rcu_preempt
11:33:14        0        16    0.00    0.00    0.00    0.00    0.00     0  migration/0
11:33:14        0        22    0.00    0.00    0.00    0.00    0.00     1  migration/1
11:33:14        0        23    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
11:33:14        0        28    0.00    0.00    0.00    0.00    0.00     2  migration/2
11:33:14        0        29    0.00    0.00    0.00    0.00    0.00     2  ksoftirqd/2
11:33:14        0        34    0.00    0.00    0.00    0.00    0.00     3  migration/3
11:33:14        0        35    0.00    0.00    0.00    0.00    0.00     3  ksoftirqd/3
11:33:14        0        40    0.00    0.00    0.00    0.00    0.00     4  migration/4
11:33:14        0        41    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
11:33:14        0        46    0.00    0.00    0.00    0.00    0.00     5  migration/5
11:33:14        0        47    0.00    0.00    0.00    0.00    0.00     5  ksoftirqd/5
11:33:14        0        52    0.00    0.00    0.00    0.00    0.00     6  migration/6
11:33:14        0        53    0.00    0.00    0.00    0.00    0.00     6  ksoftirqd/6
11:33:14        0        58    0.00    0.00    0.00    0.00    0.00     7  migration/7
11:33:14        0        59    0.00    0.00    0.00    0.00    0.00     7  ksoftirqd/7
11:33:14        0        65    0.00    0.00    0.00    0.00    0.00     3  khungtaskd
11:33:14        0        70    0.00    0.00    0.00    0.00    0.00     5  kcompactd0
11:33:14        0        72    0.00    0.00    0.00    0.00    0.00     0  khugepaged
11:33:14        0        84    0.00    0.00    0.00    0.00    0.00     0  kworker/0:1H-events_highpri
11:33:14        0       110    0.00    0.00    0.00    0.00    0.00     3  kworker/3:1H-events_highpri
11:33:14        0       196    0.00    0.00    0.00    0.00    0.00     2  kworker/2:1H-kblockd
11:33:14        0       233    0.00    0.00    0.00    0.00    0.00     7  kworker/7:1H-events_highpri
11:33:14        0       235    0.00    0.00    0.00    0.00    0.00     6  kworker/6:1H-events_highpri
11:33:14        0       238    0.00    0.00    0.00    0.00    0.00     1  irq/167-WACF2200:00
11:33:14        0       241    0.00    0.02    0.00    0.00    0.02     0  irq/168-MSFT0001:01
11:33:14        0       250    0.00    0.00    0.00    0.00    0.00     5  kworker/5:1H-kblockd
11:33:14        0       251    0.00    0.00    0.00    0.00    0.00     4  kworker/4:1H-events_highpri
11:33:14        0       271    0.00    0.00    0.00    0.00    0.00     3  jbd2/nvme0n1p5-8
11:33:14        0       316    0.00    0.00    0.00    0.00    0.00     5  systemd-journal
11:33:14        0       344    0.00    0.00    0.00    0.00    0.00     1  kworker/1:1H-events_highpri
11:33:14        0       383    0.00    0.00    0.00    0.00    0.00     6  systemd-udevd
11:33:14        0       497    0.00    0.00    0.00    0.00    0.00     6  irq/196-iwlwifi:default_queue
11:33:14        0       498    0.00    0.00    0.00    0.00    0.00     0  irq/197-iwlwifi:queue_1
11:33:14        0       499    0.00    0.00    0.00    0.00    0.00     4  irq/198-iwlwifi:queue_2
11:33:14        0       500    0.00    0.00    0.00    0.00    0.00     7  irq/199-iwlwifi:queue_3
11:33:14        0       501    0.00    0.00    0.00    0.00    0.00     5  irq/200-iwlwifi:queue_4
11:33:14        0       502    0.00    0.00    0.00    0.00    0.00     3  irq/201-iwlwifi:queue_5
11:33:14        0       503    0.00    0.00    0.00    0.00    0.00     7  irq/202-iwlwifi:queue_6
11:33:14        0       504    0.00    0.00    0.00    0.00    0.00     1  irq/203-iwlwifi:queue_7
11:33:14        0       506    0.00    0.00    0.00    0.00    0.00     5  irq/204-iwlwifi:queue_8
11:33:14      108       585    0.00    0.00    0.00    0.00    0.00     1  systemd-oomd
11:33:14      101       586    0.00    0.00    0.00    0.00    0.00     3  systemd-resolve
11:33:14      103       587    0.00    0.00    0.00    0.00    0.00     7  systemd-timesyn
11:33:14        0       661    0.00    0.00    0.00    0.00    0.00     5  accounts-daemon
11:33:14        0       662    0.00    0.00    0.00    0.00    0.00     3  acpid
11:33:14      114       664    0.00    0.00    0.00    0.00    0.00     1  avahi-daemon
11:33:14      102       668    0.00    0.00    0.00    0.00    0.00     2  dbus-daemon
11:33:14        0       671    0.00    0.00    0.00    0.00    0.00     1  NetworkManager
11:33:14        0       677    0.00    0.00    0.00    0.00    0.00     7  iio-sensor-prox
11:33:14        0       679    0.00    0.00    0.00    0.00    0.00     4  irqbalance
11:33:14        0       680    0.00    0.00    0.00    0.00    0.00     5  networkd-dispat
11:33:14        0       681    0.00    0.00    0.00    0.00    0.00     1  polkitd
11:33:14        0       683    0.00    0.00    0.00    0.00    0.00     7  power-profiles-
11:33:14      104       686    0.00    0.00    0.00    0.00    0.00     0  rsyslogd
11:33:14        0       692    0.00    0.00    0.00    0.00    0.00     4  snapd
11:33:14        0       695    0.00    0.00    0.00    0.00    0.00     0  switcheroo-cont
11:33:14        0       698    0.00    0.00    0.00    0.00    0.00     6  systemd-logind
11:33:14        0       699    0.00    0.00    0.00    0.00    0.00     1  thermald
11:33:14        0       702    0.00    0.00    0.00    0.00    0.00     5  udisksd
11:33:14        0       703    0.00    0.00    0.00    0.00    0.00     5  wpa_supplicant
11:33:14        0       739    0.00    0.00    0.00    0.00    0.00     0  ModemManager
11:33:14        0       740    0.00    0.00    0.00    0.00    0.00     7  boltd
11:33:14        0       746    0.00    0.00    0.00    0.00    0.00     7  bluetoothd
11:33:14        0       782    0.00    0.00    0.00    0.00    0.00     7  cupsd
11:33:14      999       786    0.00    0.00    0.00    0.00    0.00     6  prx
11:33:14        0       798    0.00    0.00    0.00    0.00    0.01     3  containerd
11:33:14        0       804    0.00    0.00    0.00    0.00    0.00     1  unattended-upgr
11:33:14        0       844    0.00    0.00    0.00    0.00    0.00     6  gdm3
11:33:14      130       880    0.00    0.00    0.00    0.00    0.00     5  postgres
11:33:14        0       900    0.00    0.00    0.00    0.00    0.00     7  irq/213-AudioDSP
11:33:14      130       951    0.00    0.00    0.00    0.00    0.00     0  postgres
11:33:14      130       962    0.00    0.00    0.00    0.00    0.00     6  postgres
11:33:14      130       964    0.00    0.00    0.00    0.00    0.00     3  postgres
11:33:14        0      1153    0.00    0.00    0.00    0.00    0.00     7  upowerd
11:33:14      116      1172    0.00    0.00    0.00    0.00    0.00     1  rtkit-daemon
11:33:14      999      1310    0.00    0.00    0.00    0.00    0.00     4  dbus-monitor
11:33:14        0      1479    0.01    0.00    0.00    0.00    0.01     2  packagekitd
11:33:14        0      1623    0.00    0.00    0.00    0.00    0.00     1  open-fprintd
11:33:14      122      1628    0.00    0.00    0.00    0.00    0.00     1  colord
11:33:14        0      1769    0.00    0.00    0.00    0.00    0.00     1  cups-browsed
11:33:14        0      2284    0.00    0.00    0.00    0.00    0.00     7  gdm-session-wor
11:33:14     1000      2295    0.00    0.00    0.00    0.00    0.00     3  systemd
11:33:14     1000      2303    0.01    0.00    0.00    0.00    0.01     5  kited
11:33:14     1000      2304    0.00    0.00    0.00    0.00    0.00     7  pipewire
11:33:14     1000      2310    0.00    0.00    0.00    0.00    0.00     1  pipewire-media-
11:33:14     1000      2311    0.01 3   0    0.00    0.00    0.05     2  pulseaudio
11:33:14     1000      2322    0.00    0.00    0.00    0.00    0.00     0  dbus-daemon
11:33:14     1000      2324    0.00    0.00    0.00    0.00    0.00     1  gnome-keyring-d
11:33:14     1000      2333    0.00    0.00    0.00    0.00    0.00     4  gvfsd
11:33:14     1000      2360    0.00    0.00    0.00    0.00    0.00     6  xdg-document-po
11:33:14     1000      2387    0.00    0.00    0.00    0.00    0.00     2  tracker-miner-f
11:33:14     1000      2399    0.00    0.00    0.00    0.00    0.00     5  gvfs-udisks2-vo
11:33:14     1000      2406    0.00    0.00    0.00    0.00    0.00     0  gvfs-gphoto2-vo
11:33:14     1000      2410    0.00    0.00    0.00    0.00    0.00     1  gvfs-goa-volume
11:33:14     1000      2414    0.00    0.00    0.00    0.00    0.00     7  goa-daemon
11:33:14     1000      2423    0.00    0.00    0.00    0.00    0.00     0  goa-identity-se
11:33:14     1000      2426    0.00    0.00    0.00    0.00    0.00     7  gvfs-mtp-volume
11:33:14     1000      2433    0.00    0.00    0.00    0.00    0.00     6  gvfs-afc-volume
11:33:14     1000      2444    0.00    0.00    0.00    0.00    0.00     4  gnome-session-b
11:33:14     1000      2509    0.00    0.00    0.00    0.00    0.00     0  gnome-session-b
11:33:14     1000      2531    0.09    0.03    0.00    0.00    0.12     0  gnome-shell
11:33:14     1000      2539    0.00    0.00    0.00    0.00    0.00     7  dbus-daemon
11:33:14     1000      2625    0.00    0.00    0.00    0.00    0.00     1  gnome-shell-cal
11:33:14     1000      2631    0.00    0.00    0.00    0.00    0.00     1  evolution-sourc
11:33:14     1000      2645    0.00    0.00    0.00    0.00    0.00     5  dconf-service
11:33:14      123      2646    0.00    0.00    0.00    0.00    0.00     1  geoclue
11:33:14     1000      2648    0.00    0.00    0.00    0.00    0.00     4  evolution-calen
11:33:14     1000      2661    0.00    0.00    0.00    0.00    0.00     0  evolution-addre
11:33:14     1000      2681    0.00    0.00    0.00    0.00    0.00     2  gvfsd-trash
11:33:14     1000      2692    0.00    0.00    0.00    0.00    0.00     1  gjs
11:33:14     1000      2694    0.00    0.00    0.00    0.00    0.00     2  at-spi2-registr
11:33:14     1000      2723    0.01    0.00    0.00    0.00    0.01     4  ibus-daemon
11:33:14     1000      2724    0.00    0.00    0.00    0.00    0.00     0  gsd-color
11:33:14     1000      2727    0.00    0.00    0.00    0.00    0.00     5  gsd-datetime
11:33:14     1000      2731    0.00    0.00    0.00    0.00    0.00     5  gsd-housekeepin
11:33:14     1000      2733    0.00    0.00    0.00    0.00    0.00     7  gsd-keyboard
11:33:14     1000      2734    0.00    0.00    0.00    0.00    0.00     5  gsd-media-keys
11:33:14     1000      2737    0.00    0.00    0.00    0.00    0.00     7  gsd-power
11:33:14     1000      2741    0.00    0.00    0.00    0.00    0.00     0  gsd-print-notif
11:33:14     1000      2743    0.00    0.00    0.00    0.00    0.00     6  gsd-rfkill
11:33:14     1000      2745    0.00    0.00    0.00    0.00    0.00     3  gsd-sharing
11:33:14     1000      2747    0.00    0.00    0.00    0.00    0.00     0  gsd-smartcard
11:33:14     1000      2750    0.00    0.00    0.00    0.00    0.00     4  gsd-sound
11:33:14     1000      2752    0.00    0.00    0.00    0.00    0.00     0  gsd-wacom
11:33:14     1000      2805    0.00    0.00    0.00    0.00    0.00     0  ibus-extension-
11:33:14     1000      2807    0.00    0.00    0.00    0.00    0.00     6  ibus-portal
11:33:14     1000      2823    0.00    0.00    0.00    0.00    0.00     5  blueman-applet
11:33:14     1000      2835    0.00    0.00    0.00    0.00    0.00     0  gsd-disk-utilit
11:33:14     1000      2853    0.00    0.00    0.00    0.00    0.00     7  evolution-alarm
11:33:14     1000      2882    0.00    0.00    0.00    0.00    0.00     4  snap-store
11:33:14     1000      2912    0.00    0.00    0.00    0.00    0.00     7  gsd-printer
11:33:14     1000      2968    0.00    0.00    0.00    0.00    0.00     4  ibus-engine-sim
11:33:14     1000      3063    0.00    0.00    0.00    0.00    0.00     3  xdg-desktop-por
11:33:14     1000      3067    0.00    0.00    0.00    0.00    0.00     4  xdg-desktop-por
11:33:14     1000      3105    0.00    0.00    0.00    0.00    0.00     6  gjs
11:33:14     1000      3128    0.00    0.00    0.00    0.00    0.00     0  xdg-desktop-por
11:33:14     1000      3150    0.00    0.00    0.00    0.00    0.00     7  blueman-tray
11:33:14        0      3229    0.00    0.00    0.00    0.00    0.00     3  fwupd
11:33:14     1000      3245    0.00    0.00    0.00    0.00    0.00     0  gvfsd-metadata
11:33:14     1000      3262    0.00    0.00    0.00    0.00    0.00     0  snapd-desktop-i
11:33:14     1000      3337    0.00    0.00    0.00    0.00    0.00     7  snapd-desktop-i
11:33:14     1000      4895    0.02    0.01    0.00    0.00    0.03     3  code
11:33:14     1000      4913    0.00    0.00    0.00    0.00    0.00     0  code
11:33:14     1000      4930    0.00    0.00    0.00    0.00    0.00     6  code
11:33:14     1000      5128    0.00    0.00    0.00    0.00    0.00     4  chrome_crashpad
11:33:14     1000      5131    0.01    0.01    0.00    0.00    0.03     4  Xwayland
11:33:14     1000      5256    0.00    0.00    0.00    0.00    0.00     1  gsd-xsettings
11:33:14     1000      5300    0.00    0.00    0.00    0.00    0.00     0  ibus-x11
