0inux 5.15.0-25-generic (ArielK) 	07/29/2023 	_x86_64_	(4 CPU)

03:06:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:06:04 PM     0         1    0.00    0.00    0.00    0.00    0.00     0  systemd
03:06:04 PM     0         2    0.00    0.00    0.00    0.00    0.00     2  kthreadd
03:06:04 PM     0        12    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
03:06:04 PM     0        13    0.00    0.08    0.00    0.01    0.08     0  rcu_sched
03:06:04 PM     0        14    0.00    0.00    0.00    0.00    0.00     0  migration/0
03:06:04 PM     0        19    0.00    0.00    0.00    0.00    0.00     1  migration/1
03:06:04 PM     0        20    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
03:06:04 PM     0        25    0.00    0.00    0.00    0.00    0.00     2  migration/2
03:06:04 PM     0        26    0.00    0.00    0.00    0.00    0.00     2  ksoftirqd/2
03:06:04 PM     0        31    0.00    0.00    0.00    0.00    0.00     3  migration/3
03:06:04 PM     0        32    0.00    0.00    0.00    0.00    0.00     3  ksoftirqd/3
03:06:04 PM     0        38    0.00    0.00    0.00    0.00    0.00     0  kauditd
03:06:04 PM     0        39    0.00    0.00    0.00    0.00    0.00     2  khungtaskd
03:06:04 PM     0        42    0.00    0.01    0.00    0.00    0.01     0  kcompactd0
03:06:04 PM     0        43    0.00    0.03    0.00    0.01    0.03     0  ksmd
03:06:04 PM     0        44    0.00    0.00    0.00    0.00    0.00     0  khugepaged
03:06:04 PM     0       101    0.00    0.00    0.00    0.00    0.00     0  kworker/0:1H-kblockd
03:06:04 PM     0       103    0.00    0.00    0.00    0.00    0.00     0  kswapd0
03:06:04 PM     0       156    0.00    0.00    0.00    0.00    0.00     3  kworker/3:1H-kblockd
03:06:04 PM     0       206    0.00    0.00    0.00    0.00    0.00     2  kworker/2:1H-kblockd
03:06:04 PM     0       208    0.00    0.00    0.00    0.00    0.00     1  kworker/1:1H-kblockd
03:06:04 PM     0       236    0.00    0.01    0.00    0.00    0.01     2  jbd2/sda6-8
03:06:04 PM     0       286    0.01    0.01    0.00    0.00    0.03     2  systemd-journal
03:06:04 PM     0       361    0.00    0.00    0.00    0.00    0.00     1  systemd-udevd
03:06:04 PM     0       560    0.00    0.00    0.00    0.00    0.00     0  nvidia-modeset/
03:06:04 PM   101       641    0.02    0.02    0.00    0.00    0.03     2  systemd-resolve
03:06:04 PM   102       642    0.00    0.00    0.00    0.00    0.00     0  systemd-timesyn
03:06:04 PM     0       695    0.00    0.00    0.00    0.00    0.00     0  accounts-daemon
03:06:04 PM     0       696    0.00    0.00    0.00    0.00    0.00     1  acpid
03:06:04 PM   115       699    0.01    0.01    0.00    0.00    0.02     3  avahi-daemon
03:06:04 PM     0       700    0.00    0.00    0.00    0.00    0.00     3  cron
03:06:04 PM   103       701    0.01    0.00    0.00    0.00    0.01     0  dbus-daemon
03:06:04 PM     0       702    0.03    0.01    0.00    0.00    0.04     2  NetworkManager
03:06:04 PM     0       707    0.00    0.00    0.00    0.00    0.01     1  irqbalance
03:06:04 PM     0       708    0.00    0.00    0.00    0.00    0.00     3  networkd-dispat
03:06:04 PM     0       709    0.00    0.00    0.00    0.00    0.00     1  polkitd
03:06:04 PM     0       710    0.00    0.00    0.00    0.00    0.00     2  power-profiles-
03:06:04 PM     0       721    0.02    0.00    0.00    0.00    0.02     2  snapd
03:06:04 PM     0       723    0.00    0.00    0.00    0.00    0.00     2  switcheroo-cont
03:06:04 PM     0       726    0.00    0.00    0.00    0.00    0.00     3  systemd-logind
03:06:04 PM     0       727    0.00    0.01    0.00    0.00    0.01     3  thermald
03:06:04 PM     0       730    0.01    0.00    0.00    0.00    0.01     3  udisksd
03:06:04 PM     0       731    0.00    0.00    0.00    0.00    0.00     1  wpa_supplicant
03:06:04 PM     0       829    0.00    0.00    0.00    0.00    0.00     2  unattended-upgr
03:06:04 PM     0       833    0.01    0.00    0.00    0.00    0.02     2  containerd
03:06:04 PM     0       836    0.00    0.00    0.00    0.00    0.00     3  ModemManager
03:06:04 PM   127       878    0.00    0.00    0.00    0.00    0.00     2  tor
03:06:04 PM     0       885    0.00    0.00    0.00    0.00    0.00     2  gdm3
